# key	english	bulgarian	french	russian
Items/DesNuclearComposter	A sealed composter for irradiated food. Items stored inside decay faster, converting into Nuclear Material.	Запечатан компостер за облъчена храна. Съхраняваните вътре предмети се разлагат по-бързо, превръщайки се в ядрен материал.	Un composteur scellé pour aliments irradiés.  \nLes objets stockés à l'intérieur se décomposent plus rapidement, se transformant en matière nucléaire.\n	Запаянный компостер для облучённой пищи.  \nХранящиеся внутри предметы разлагаются быстрее, превращаясь в ядерный материал.\n
Items/AtomicBarrelNuclear	Atomic Barrel	Атомна бъчва	Baril Atomique	Атомная бочка
Items/Seed Cactus	Cactus seeds	Семена от кактус	Graines de cactus	Семена кактуса
Items/DesKeySeed Cactus	You want to bring your spiky desert friends down to your shelter? Cacti are sturdy plants with some culinary applications.	Искаш да донесеш твоите бодливи пустинни приятели в убежището си? Кактусите са здрави растения с някои кулинарни приложения.	Tu veux ramener tes amis épineux du désert dans ton abri ? Les cactus sont des plantes robustes qui ont également des utilisations culinaires.	Хочешь привести своих колючих пустынных друзей в своё убежище? Кактусы — выносливые растения, которые также можно использовать в кулинарии.
Items/Seed Mushroom	Mushroom spores	Спори на гъби	Spores de champignon	Споры грибов
Items/DesKeySeed Mushroom	You can start growing your own mushrooms, enriching your kitchen with a valuable ingredient and bringing the unique damp atmosphere of the mine into your home.	Можеш да започнеш да отглеждаш свои собствени гъби, обогатявайки кухнята си с ценна съставка и внасяйки уникалната влажна атмосфера на мината в дома си.	Tu peux commencer à cultiver tes propres champignons, enrichir ta cuisine d'un ingrédient précieux et apporter chez toi l'atmosphère humide unique de la mine.	Ты можешь начать выращивать собственные грибы, обогатив свою кухню ценным ингредиентом и привнеся в дом уникальную влажную атмосферу шахты.
Items/Seed Pepper	Pepper seeds	Семена от пипер	Graines de poivre	Семена перца
Items/DesKeySeed Pepper	Spice up your life and be a prepper with your own pepper, 	Подправи живота си и бъди препър със собствен пипер,	Relève ta vie et deviens un survivaliste avec ton propre poivre.	Добавь остроты в свою жизнь и стань выживальщиком со своим собственным перцем.
Items/BeetSalad	Beet salad	Салата от цвекло	Salade de betteraves	Салат из свеклы
Items/DesKeyBeetSalad	Beet-based salad. It has an unobvious taste, but is awful healthy and would impress your more sophistacted friends on a cocktail party... if you had such friends and threw cocktail parties.	Салата на основата на цвекло. Има необичаен вкус, но е много здравословна и би впечатлила по-изтънчените ти приятели на коктейлно парти... ако имаше такива приятели и организираше коктейлни партита.	Salade à base de betteraves. Elle a un goût inattendu, mais elle est incroyablement saine et impressionnerait certainement tes amis les plus sophistiqués lors d'un cocktail... si tu avais de tels amis et organisais des cocktails.	Салат на основе свёклы. У него необычный вкус, но он невероятно полезен и наверняка впечатлил бы твоих более изысканных друзей на коктейльной вечеринке... если бы у тебя были такие друзья и ты устраивал коктейльные вечеринки.
