# key	english
UI/Blueprint	Blueprint
Dialogues/prepInspectDestroyedHazmat1	Protective clothing... I think it's some kind of an old hazmat suit. Way too damaged to use though.\nI will search the pockets.
Dialogues/prepInspectDestroyedHazmat2	<voice type=thanks>\nAnother elevator pass! That must be the way to another level of the mine!
Dialogues/prepRadiatedMushroomGrab1	<voice type=question>\nThis looks odd, even for mushroom standards.\n<voice type=order>\nThe counter shows it's radiated. I shouldn't keep it close to me for too long.
Dialogues/prepRadiatedMushroomGrab2	I don't know if there's any meaningful use of those. But I'll show them to Jenny, maybe she'll find it interesting. 
Dialogues/prepRadiatedMushroomTalk1	<voice type=greeting>\nHello, Jenny. I have some... curiosity for you to take a look at.
Dialogues/herbRadiatedMushroomTalk2	<voice type=greeting>\nOh, it's so nice of you to think about the old lady! Show me.
Dialogues/prepRadiatedMushroomTalk3	So I found this mushroom. I think it's mutated. Even more than that: currently radioactive.
Dialogues/herbRadiatedMushroomTalk4	<voice type=question>\nOh Buttercup, it's never just cute flowers with you, right? But it does sound interesting, let me take a look.\n<voice type=acceptance>\nYou're right, these are surely mutated. I've seen such specimen once, a friend living close to Three Mile Island sent it to me.\nI have an idea for a small experiment with this one. Please visit me later and maybe you'll get a small treat.
Dialogues/prepRadiatedMushroomTalk5	<voice type=acceptance>\nMysterious as always! I'll make sure to come back.
Dialogues/prepAntiRadiation1	<voice type=greeting>\nHello, Jenny! Have you managed to do something interesting with the mutated, radioactive mushroom?
Dialogues/herbAntiRadiation2	This might surprise you. I used it to make an extract that cleanses some of the radiation from your body.\nHere, take a sample.
Dialogues/prepAntiRadiation3	<voice type=thanks>\nIncredible! How does that work?
Dialogues/herbAntiRadiation4	<voice type=laugh>\nI can't tell you. But weird old ladies are also fit for the atomic age, Buttercup. \nAnyway, here's the recipe, if you need to make more.
Dialogues/prepAntiRadiation5	<voice type=thanks>\nThank you. I'm sure it's going to be useful.
Dialogues/prepOldGasMask1	This seems to be an old gas mask. \n<voice type=question>\nWere they trying to protect themselves with this?\nIt's a very incomplete radiation protection... But there's a good idea in it.\nIt would at least protect from inhaling radioactive particles.
Dialogues/prepOldGasMask2	I think I could make my own mask, better than this one.
Dialogues/prepUraniumMiningMachine1	<voice type=question>\nOh, and what's that? An excavator?\nIt sure would be great not to mine uranium by hand like its's 1930. Let's see if it's in working condition.
Dialogues/prepUraniumMiningMachine2	<voice type=thanks>\nWow, it seems to be working!\nNow I will be able to get uranium ore fast. The nuclear future looks bright.
Dialogues/prepUraniumMiningMachine3	Now I need to come up with a way of really using this resource.\n<voice type=question>\nMaybe I should ask Bob about a book on nuclear energy and engineering.
Dialogues/prepNuclearEngineering1	<voice type=greeting>\nHi, Bob. Last time I asked you about history, and today I'm looking for something more practical.\n<voice type=question>\nDo you have anything on nuclear engineering? Ways of producing nuclear energy?
Dialogues/bobNuclearEngineering2	<voice type=acceptance>\nI see your ambitions are increasing. Yes, I think I have something just for you.
Dialogues/bobNuclearEngineering3	Here you go. This book covers small-scale devices as well. Just, listen, Prepper, I'll say it once again.
Dialogues/prepNuclearEngineering4	<voice type=question>\nYes?
Dialogues/bobNuclearEngineering5	<voice type=disappointment>\nPlease don't blow us all up.
Dialogues/prepNeedNuclearRod	<voice type=negation>\nI need a nuclear rod for it.
Dialogues/prepUraniumMineSign	<voice type=question>\nA radiation symbol.\n<voice type=order>\nI should be careful here. And also about the objects taken from here.
Dialogues/prepElevatorShaftBlocked1	<voice type=negation>\nDoesn't work. 
Dialogues/prepElevatorShaftBlocked2	Elevator shaft seems to be collapsed.\nLooks like it's the end of the mine and there's nothing more below.
Dialogues/scientistGiveQuestStage1	TEMP TEXT GIVE QUEST 1
Dialogues/scientistGiveQuestStage2	TEMP TEXT GIVE QUEST 2
Dialogues/scientistGiveQuestStage3	TEMP TEXT GIVE QUEST 3
Dialogues/scientistGiveQuestStage4	TEMP TEXT GIVE QUEST 4
Dialogues/scientistNoItem1	TEMP TEXT NO ITEMS 1
Dialogues/scientistNoItem2	TEMP TEXT NO ITEMS 2
Dialogues/scientistNoItem3	TEMP TEXT NO ITEMS 3
Dialogues/scientistNoItem4	TEMP TEXT NO ITEMS 4
Dialogues/scientistCompleteQuestStage1	TEMP TEXT COMPLETE QUEST 1
Dialogues/scientistCompleteQuestStage2	TEMP TEXT COMPLETE QUEST 2
Dialogues/scientistCompleteQuestStage3	TEMP TEXT COMPLETE QUEST 3
Dialogues/scientistCompleteQuestStage4	TEMP TEXT COMPLETE QUEST 4
Dialogues/scientistRandomTalk1	TEMP TEXT RANDOM TALK 1
Dialogues/scientistRandomTalk2	TEMP TEXT RANDOM TALK 2
Dialogues/scientistRandomTalk3	TEMP TEXT RANDOM TALK 3
Dialogues/scientistRandomTalk4	TEMP TEXT RANDOM TALK 4
Dialogues/scientistRandomTalk5	TEMP TEXT RANDOM TALK 5
Dialogues/prepGasMask1	<voice type=question>\nExcuse me, can I ask why are you wearing this gas mask?\nNo one else seems to be doing it here.
Dialogues/sleep1GasMask2	<voice type=disappointment>\n...
Dialogues/prepGasMask3	It's a very old design.\nI doubt it still works.\n<voice type=question>\nWhat exactly are you protecting yourself from?
Dialogues/sleep1GasMask4	Uhm... It's harder to breathe in it... \nSo it helps me to stay awake.\nDifferent people have different methods, you know.
Dialogues/prepGasMask5	<voice type=acceptance>\nOkay, I see.\n<voice type=question>\nAre you maybe willing to sell it?
Dialogues/sleep1GasMask6	<voice type=disappointment>\n...
Dialogues/prepGasMask7	<voice type=question>\nWhat about trading it for something else?
Dialogues/sleep1GasMask8	Well... Come to think of it, it's not comforable to wear it all the time. \nIf you have something that would keep me awake better than this... Then maybe.
Dialogues/prepGasMask9	<voice type=acceptance>\nI may have an idea. I'll get back to you.
Dialogues/prepGasMaskRecive1	Here you are. Just take it from time to time.\nMuch more pleasant than the gas mask.
Dialogues/sleep1GasMaskRecive2	<voice type=question>\nAnd it will help me to stay awake?
Dialogues/prepGasMaskRecive3	Yes. It helps me just fine.
Dialogues/sleep1GasMaskRecive4	<voice type=acceptance>\nDeal.
Dialogues/lemonTest1	Test
Dialogues/lemonRandomCall1	Lemonade for sale!
Dialogues/lemonRandomCall2	Lemonade! Lemonade!
Dialogues/lemonRandomCall3	Cheapest lemonade in town!
Dialogues/lemonRandomCall4	Buy lemonade! Support local businesses!
Dialogues/lemonRandomCall5	Buy lemonade, support your local girl scouts!
Dialogues/lemonRandomCall6	Bless the President, buy the lemonade!
Dialogues/lemonRandomCall7	Every good citizen buys lemonade! Buy lemonade!
Dialogues/lemonRandomCall8	Lemonade!
Dialogues/lemonRandomCall9	Buy the president, bless the lemonade! Uhh, wait...
Dialogues/lemonRandomCall10	When life gives you mushrooms, drink lemonade!
Dialogues/lemonRandomCall11	Lemonade, lemonade! Support the Girl Scouts of Murricaville!
Dialogues/lemonRandomTalk1	<voice type=question>\nOh, how I miss summer camps with my fellow scouts in the wildernesses of Nevorado! Or was it Texizona? Wait...
Dialogues/lemonRandomTalk2	<voice type=disappointment>\nThree, four, five... Gosh, not so much today. This won't help my dad much.
Dialogues/lemonRandomTalk3	<voice type=question>\n"Should auld acquaintance be forgot, and never brought to mind?"
Dialogues/lemonRandomTalk4	<voice type=question>\nThe people in the town used to be nicer, and the animals in the woods more friendly.\nOr is it just me growing up?
Dialogues/lemonRandomTalk5	<voice type=question>\nMaybe I should sell different products. Would people want to buy origami atomic mushrooms?
Dialogues/lemonRandomTalk6	<voice type=thanks>\nI miss campfires at summer camps. Singing, watching fireflies, stars, glowing oval things shooting through the night sky, eating marshmallows.
Dialogues/lemonRandomTalk7	<voice type=upset>\nWe used to sing a lot of different songs with my troop. Somehow I remember only the ones about the President.
Dialogues/lemonRandomTalk8	I'd like to have a pet wolf, but I'm afraid my father won't let me.
Dialogues/lemonRandomTalk9	I hope the money from the stand really helps my dad.
Dialogues/lemonRandomTalk10	<voice type=disappointment>\nGosh, I'm so bored here.
Dialogues/lemonRandomTalk11	<voice type=laugh>\nI remember one time we were hiking up a mountain. Chloe from the Bears almost fell from a cliff! It was so much fun!
Dialogues/lemonRandomTalk12	<voice type=disappointment>\nI wish there were more kids my age in Murricaville.
Dialogues/lemonRandomTalk13	<voice type=question>\nOn the east there is: the Atlantic Ocean, the Carribean Sea, the Bay of... Bay of... gosh, what was that?
Dialogues/lemonRandomTalk14	<voice type=laugh>\nI've found such a good place to hide for the hide and seek game! But who will play with me?
Dialogues/lemonRandomTalk15	<voice type=laugh>\nWhat if we just all started blowing bubbles, and covered the whole street with bubbles? The whole town? 
Dialogues/lemonFirstInteraction1	Hello, dear customer! I have delicious lemonade! Do you want a free sample?
Dialogues/prepFirstInteraction2	Oh, an interesting business strategy! Sure, I'll have a sip.
Dialogues/prepFirstInteraction3	It's very tasty!
Dialogues/lemonFirstInteraction4	Cool! So you'll become a regular now! What's your name, dear customer?
Dialogues/prepFirstInteraction5	I'm Mr. Prepper. Nice to meet you. Are you from around here?
Dialogues/lemonFirstInteraction6	Yes! Proudly representing the Girl Scouts of Murricaville! \nEven if our group is not too active these days. But I hope we'll get back at our feet again!\nMaybe with the funds from the lemonade sale! After I support my struggling dad though.
Dialogues/prepFirstInteraction7	So I wish you luck with the sale! I might stop by sometimes.
Dialogues/lemonUnlockExpedition1	<voice type=greeting>\nHello, Mr. Prepper. I have noticed you roam around a lot.\n<voice type=question>\nBusy life? Or... you're looking for something?
Dialogues/prepUnlockExpedition2	<voice type=order>\nHm... yes, I need to be on the move a lot because of my... because of my work.
Dialogues/lemonUnlockExpedition3	Well, my lemonade business is going great, but I need to expand.\n<voice type=order>\nMaybe I can help? I know a lot about the area here!
Dialogues/prepUnlockExpedition4	<voice type=negation>\nLook, kid, I think my line of work is too dangerous for you.
Dialogues/lemonUnlockExpedition5	<voice type=question>\nBut please?
Dialogues/prepUnlockExpedition6	<voice type=negation>\nNo.
Dialogues/lemonUnlockExpedition7	<voice type=order>\nI'm a scout! I have earned Danger Detection and Predator Avoidance badges!
Dialogues/prepUnlockExpedition8	<voice type=question>\nWhy would you have a Predator Avoidance badge in your... Ah, nevermind.
Dialogues/lemonUnlockExpedition9	<voice type=disappointment>\nGive me a challenge, please! It's boring here in the lemonade stand.
Dialogues/prepUnlockExpedition10	<voice type=order>\nEhrm, fine. Go to the forest and bring me some blueberries. Just don't go too deep!\nIn return, I'll... buy a big, big cup of lemonade from you!
Dialogues/lemonUnlockExpedition11	<voice type=acceptance>\nYes, sir! Blueberries coming right up!\n<voice type=question>\nWhere exactly should I go then?
Dialogues/lemonUnlockPowerPlant1	<voice type=greeting>\nPsst... Hey, Mr. Prepper! I have a special new offer! For my bestest VIP customers only!
Dialogues/prepUnlockPowerPlant2	<voice type=question>\nAnd that would be me...?
Dialogues/lemonUnlockPowerPlant3	Oh, Mr. Prepper! Of course I mean you! No other customer talks to me this much!
Dialogues/prepUnlockPowerPlant4	Okay, let's see where this is going.\n<voice type=question>\nDo you have a new lemonade flavor or something?
Dialogues/lemonUnlockPowerPlant5	<voice type=negation>\nNo!\nSomething veeery valuable, and what scouts are trained to gather.\n<voice type=order>\nR E C O N!\n<voice type=order>\nI N F O R M A T I O N!
Dialogues/prepUnlockPowerPlant6	Right... I guess I have nothing to lose.
Dialogues/lemonUnlockPowerPlant7	It will cost you only a thousand dollars!
Dialogues/prepUnlockPowerPlant7	<voice type=negation>\nWhat? No.
Dialogues/lemonUnlockPowerPlant8	<voice type=upset>\nOh, but Mr. Prepper, it's really a bargain!\nOkay, for the bestest VIP customer, I will give you my final offer!\nFor the next ten minutes, I give the information as a bonus to a cup of lemonade.\n<voice type=laugh>\nAre you accepting the deal, Mr. Prepper? Clock is ticking! Tick-tock!
Dialogues/prepUnlockPowerPlant9	<voice type=question>\nYou just really, really want to tell me something, don't you?
Dialogues/lemonUnlockPowerPlant10	...\n<voice type=surprise>\nJust listen! I found a BIG abandoned building! Concrete! Industrial! BIG chimneys! \nIt looks cool! But has a funny smell around.
Dialogues/prepUnlockPowerPlant11	<voice type=thanks>\nThis is interesting indeed. Thank you, kid.
Dialogues/lemonBuy1	<voice type=thanks>\nThank you for supporting girl scouts, Mr. Prepper!
Dialogues/lemonBuy2	<voice type=thanks>\nThank you, Mr. Prepper! My dad... I mean, the girl scouts will be thankful!
Dialogues/lemonBuy3	<voice type=thanks>\nGosh, thanks a lot! The money goes for a good cause!
Dialogues/lemonBuy4	<voice type=thanks>\nThank you for supporting your local scouts!
Dialogues/lemonBuy5	<voice type=thanks>\nThank you! And don't forget to come for more!
Dialogues/lemonFreeSmaple	Enjoy your drink, Mr. Prepper!\nIt's on the house.
Dialogues/scientistNextQuest1	I have another request for you, Mr. Prepper.
Dialogues/scientistNextQuest2	Will you do me a favor, Mr. Prepper?
Dialogues/scientistNextQuest3	<voice type=question>\nWould you help me again, Mr. Prepper?
Dialogues/scientistFetchTemplate	
Dialogues/scientistFetchItem1	Imma need $x$.
Dialogues/scientistFetchItem2	My work demands $x$.
Dialogues/scientistFetchItem3	Find $x$ for me.
Dialogues/scientistFetchItem4	Bring me $x$, will ya?
Dialogues/scientistPromiseReward1	Bring it to me and I'll tell you some of my scientific secrets. For real!
Dialogues/scientistPromiseReward2	This will help us make progress.
Dialogues/scientistPromiseReward3	This will be another step towards scientific excellence.
Dialogues/scientistEndQuestThanks1	<voice type=thanks>\nThanks, man, that's exactly what I needed.
Dialogues/scientistEndQuestThanks2	<voice type=thanks>\nGood job, Mr. Prepper, I will use it for the good of Murricaville.
Dialogues/scientistEndQuestThanks3	<voice type=thanks>\nThank you, man! One step closer to making Murricaville prosperous.
